AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients ;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area ;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z
Nurse;Medicine distribution;8.365312;0;0;0;0;0;0;0;0;0;0;0;0;5.70036;-13.00723;0.5166667;-13.63557;-12.67287;0.5166667;-15.475;-11.92359;0.5166667;-15.62545;-11.56936;0.5166667;-17.16849;-11.72508;0.5166667;-19.24931;-9.802445;0.5166667;-19.99363;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;6.726048;0;0;0;0;0;0;0;0;0;0;0;0;4.536577;-12.71569;0.5166667;-12.91128;-12.7462;0.5166667;-13.96388;-12.28808;0.5166667;-15.45724;-11.76485;0.5166667;-17.44109;-11.45391;0.5166667;-19.47674;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;26.80712;0;0;0;0;0;0;0;0;0;0;0;0;15.80036;-20.585;1.716667;-43.81;-18.58272;1.716667;-43.69653;-16.96386;1.716667;-42.58573;-16.92603;1.716667;-40.40252;-16.8139;1.716667;-38.28093;-16.70374;1.716667;-36.07578;-16.73476;1.716667;-34.00666;-16.12377;1.716667;-32.03258;-16.16462;1.716667;-29.88355;-17.42138;1.716667;-28.29648;-18.71281;1.716667;-26.66566;-19.95999;1.716667;-25.0333;-20.64116;1.716667;-23.42068;-19.33263;1.716667;-21.74308
Physician;monitoring patients ;15.60594;0;0;0;0;0;0;0;0;0;0;0;0;15.8001;-14.02571;1.716667;-36.36641;-13.99754;1.716667;-35.56665;-14.14304;1.716667;-33.80939;-13.71666;1.716667;-31.99772;-11.52422;1.716667;-31.85378;-9.294913;1.716667;-32.60253;-7.375114;1.716667;-33.38291;-5.58111;1.716667;-34.31728;-5.5;1.716667;-34.36667;-5.5;1.716667;-34.36667;-4.921824;1.716667;-33.86613;-5.126184;1.716667;-33.42485;-5.481829;1.716667;-33.37606;-5.941011;1.716667;-34.07027
Physician;monitoring patients ;7.241769;0;0;0;1;0;0;0;0;0;0;0;0;13.89256;-13.09;1.716667;-36.034;-13.09;1.716667;-36.034;-13.09;1.716667;-36.034;-13.55293;1.716667;-35.73241;-14.04026;1.716667;-36.03482;-13.83879;1.716667;-35.98693;-14.11357;1.716667;-36.00204;-13.80625;1.716667;-36.29614;-13.84148;1.716667;-36.47396;-13.09;1.716667;-36.034;-13.22725;1.716667;-35.4646;-13.98697;1.716667;-33.52093;-12.72168;1.716667;-32.7466;NaN;NaN;NaN
Physician;monitoring patients ;11.10444;0;0;0;0;0;0;0;0;0;0;0;0;13.68305;-12.92794;1.716667;-34.76882;-12.90897;1.716667;-34.74533;-13;1.716667;-33.63334;-13.16977;1.716667;-33.73433;-13.96831;1.716667;-33.33183;-12.68295;1.716667;-33.17543;-11.03392;1.716667;-32.96468;-8.954075;1.716667;-33.12307;-7.732801;1.716667;-33.37623;-6.086768;1.716667;-33.87292;-5.5;1.716667;-34.36667;-5.5;1.716667;-34.36667;-5.409842;1.716667;-34.36667;NaN;NaN;NaN
Physician;monitoring patients ;7.085678;0;0;0;1;0;0;0;0;0;0;0;0;12.53353;-13.09;1.716667;-36.034;-12.5952;1.716667;-36.92498;-12.70042;1.716667;-36.28616;-13.02415;1.716667;-36.03849;-12.82686;1.716667;-36.05087;-13.09;1.716667;-36.034;-12.85034;1.716667;-35.94629;-12.97552;1.716667;-35.93723;-12.77351;1.716667;-35.06447;-13.94205;1.716667;-34.74455;-14.401;1.716667;-34.59013;-13.86011;1.716667;-33.10792;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients ;12.29792;0;0;0;0;0;0;0;0;0;0;0;0;11.57215;-13.54682;1.716667;-34.67171;-14.26677;1.716667;-33.10659;-12.29703;1.716667;-32.79746;-10.22996;1.716667;-32.91135;-8.143362;1.716667;-33.23026;-6.745545;1.716667;-33.74063;-6.35759;1.716667;-34.36667;-5.499239;1.716667;-34.36667;-4.491126;1.716667;-34.36667;-4.510911;1.716667;-34.12107;-4.470647;1.716667;-34.1693;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients ;10.13921;0;0;0;0;0;0;0;0;0;0;0;0;10.71165;-14.09059;1.716667;-34.17253;-14.00635;1.716667;-32.31383;-11.96351;1.716667;-32.34507;-9.898563;1.716667;-32.81552;-7.807934;1.716667;-33.05413;-6.900281;1.716667;-33.99181;-6.518788;1.716667;-34.36667;-6.552509;1.716667;-34.36188;-6.512947;1.716667;-34.36667;-6.612629;1.716667;-34.36667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Resident physician;Patient round;14.13023;0;0;0;0;0;0;0;0;0;0;0;0;15.79985;-13.09;1.716667;-36.034;-14.05942;1.716667;-34.44449;-13.46872;1.716667;-32.68952;-11.34833;1.716667;-31.81818;-9.315543;1.716667;-31.20217;-8.060942;1.716667;-29.07844;-6.852994;1.716667;-27.5022;-5.41;1.716667;-27.279;-5.41;1.716667;-27.279;-5.41;1.716667;-27.279;-5.41;1.716667;-27.279;-5.41;1.716667;-27.279;-5.367435;1.716667;-27.26879;-5.41;1.716667;-27.279
Resident physician;Patient round;14.61429;0;0;0;0;0;0;0;0;0;0;0;0;13.89226;-14.03422;1.716667;-36.65262;-14.08532;1.716667;-35.67832;-13.9868;1.716667;-33.74299;-12.72256;1.716667;-32.43878;-10.64968;1.716667;-32.24942;-9.719662;1.716667;-31.81257;-8.657433;1.716667;-30.02691;-7.462943;1.716667;-27.8863;-6.431115;1.716667;-27.8174;-5.935807;1.716667;-27.96667;-6.244236;1.716667;-27.86457;-6.217263;1.716667;-27.83218;-5.918237;1.716667;-27.96667;NaN;NaN;NaN
Visitor;Supporting family member;27.17472;0;0;0;0;0;0;0;0;0;0;0;0;15.79955;-27.625;1.716667;-40.324;-25.64932;1.716667;-39.92032;-23.64106;1.716667;-39.50998;-21.42782;1.716667;-39.05777;-19.34502;1.716667;-38.63219;-16.97522;1.716667;-38.1612;-16.40034;1.716667;-36.55452;-16.67355;1.716667;-34.46033;-16.32872;1.716667;-32.22505;-15.53441;1.716667;-30.55492;-16.83813;1.716667;-28.93395;-18.10893;1.716667;-27.27946;-19.44601;1.716667;-25.67303;-20.80491;1.716667;-24.0438
Visitor;Supporting family member;23.33979;0;0;0;0;0;0;0;0;0;0;0;0;12.53323;-27.2263;1.716667;-40.24254;-25.01307;1.716667;-39.79032;-22.93026;1.716667;-39.36475;-20.62346;1.716667;-38.87021;-18.59052;1.716667;-38.46791;-16.51287;1.716667;-38.05719;-16.50101;1.716667;-35.69619;-16.7725;1.716667;-33.69617;-16.02569;1.716667;-31.8085;-16.16719;1.716667;-30.03565;-17.44251;1.716667;-28.37977;-18.74073;1.716667;-26.69418;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;16.30023;0;0;0;0;0;0;0;0;0;0;0;0;9.649532;-25.95501;1.716667;-39.98278;-23.9246;1.716667;-39.56792;-21.84962;1.716667;-39.14395;-19.43933;1.716667;-38.71785;-17.46712;1.716667;-38.26159;-16.27634;1.716667;-37.37833;-16.50728;1.716667;-35.30024;-16.7483;1.716667;-33.24841;-15.83936;1.716667;-31.46841;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;12.2788;0;0;0;0;0;0;0;0;0;0;0;0;6.745944;-27.625;1.716667;-40.324;-25.36457;1.716667;-39.86214;-23.38114;1.716667;-39.45687;-21.34302;1.716667;-39.04043;-19.26237;1.716667;-38.61343;-17.2181;1.716667;-38.25677;-16.44178;1.716667;-36.78059;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;6.2712;0;0;0;0;0;0;0;0;0;0;0;0;3.672909;-27.36664;1.716667;-40.27121;-25.35466;1.716667;-39.86011;-23.3069;1.716667;-39.4417;-21.22239;1.716667;-39.01578;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5637493;-27.35238;1.716667;-40.2683;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Shift nurse;Writing report;5.467472;0;0;0;0;0;0;0;0;0;0;0;0;15.79929;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.22;1.716667;-13.119;-13.05794;1.716667;-13.29319;-12.53858;1.716667;-14.86968;-11.91335;1.716667;-16.2614;-11.73761;1.716667;-18.29784
Head of the ED;Monitoring patients;24.28042;0;0;0;0;0;0;0;0;0;0;0;0;15.79904;-12.60336;1.716667;-35.78095;-13.28379;1.716667;-33.78345;-13.13528;1.716667;-33.65474;-14.34649;1.716667;-32.79005;-12.66421;1.716667;-31.36528;-10.39535;1.716667;-31.26173;-9.066833;1.716667;-30.72304;-8.908378;1.716667;-28.6114;-8.693241;1.716667;-26.20599;-8.528494;1.716667;-24.1883;-8.342925;1.716667;-22.11923;-8.128462;1.716667;-19.99339;-7.914432;1.716667;-18.07643;-7.925191;1.716667;-16.20019
Paramedic;Wheeling patient on a stretcher;21.78711;0;0;0;0;0;0;0;0;0;0;0;0;15.79877;-5.04;1.716667;-9.874;-6.871563;1.716667;-10.64689;-8.214554;1.716667;-11.99896;-8.78025;1.716667;-14.13966;-9.298147;1.716667;-16.20145;-9.800083;1.716667;-18.44802;-11.51401;1.716667;-19.53304;-12.92568;1.716667;-18.53826;-11.82288;1.716667;-18.1039;-11.96857;1.716667;-16.40851;-12.32244;1.716667;-14.61797;-11.80925;1.716667;-13.49959;-12.20222;1.716667;-13.13583;-13.22;1.716667;-13.119
Porter;Bringing wheelchair;21.33717;0;0;0;0;0;0;0;0;0;0;0;0;15.79852;-4.563843;1.716667;-10.74539;-6.004176;1.716667;-11.20287;-7.517388;1.716667;-11.14441;-8.398322;1.716667;-12.81494;-8.934317;1.716667;-14.8721;-9.520794;1.716667;-17.09286;-10.26838;1.716667;-18.90542;-12.03814;1.716667;-19.09857;-11.1001;1.716667;-17.32208;-11.30026;1.716667;-15.52669;-11.96345;1.716667;-13.65499;-12.99536;1.716667;-13.00986;-13.22;1.716667;-13.119;-14.17944;1.716667;-13.36888
Cleaning patient areas;Cleaner ;0;0;0;0;0;0;0;0;0;0;0;0;0;15.79826;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8;-4.1;1.016667;-1.8
Triage nurse;Admitting patient in waiting area ;22.59984;0;0;0;0;0;0;0;0;0;0;0;0;15.79801;-4.39;1.747499;-39.959;-6.36065;1.721888;-40.38629;-8.344859;1.716667;-40.86473;-10.60181;1.716667;-40.9601;-12.72485;1.716667;-41.0401;-14.86784;1.716667;-41.6524;-16.6787;1.716667;-42.6601;-18.52198;1.716667;-43.68993;-20.585;1.716667;-43.81;-20.585;1.716667;-43.81;-20.585;1.716667;-43.81;-19.09835;1.716667;-43.82682;-17.1957;1.716667;-43.01348;-15.29409;1.716667;-42.06817
