AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z
Physician;monitoring patients;3.66334;0;0;0;0;0;0;0;0;0;0;0;0;2.26565;-28.52671;1.016656;-71.40346;-28.5976;1.016656;-71.33797;-28.66619;1.016656;-71.18861;-28.73267;1.016656;-71.03481;-28.76007;1.016656;-70.82741;-28.79831;1.016656;-70.64208;-28.83978;1.016656;-70.52213;-28.86208;1.016656;-70.46401;-28.83879;1.016656;-70.36283;-28.79436;1.016656;-70.20985;-28.74418;1.016656;-70.03487;-28.70228;1.016656;-69.84623;-28.70664;1.016656;-69.65591;-28.73055;1.016656;-69.47585;-28.74261;1.016656;-69.26751;-28.75208;1.016656;-69.0559;-28.75944;1.016656;-68.85194;-28.77075;1.016656;-68.65274;-28.77311;1.016656;-68.45764;-28.75668;1.016656;-68.16083;-28.76308;1.016656;-67.99396;-28.77057;1.016656;-67.84073;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;2.2772;0;0;0;0;0;0;0;0;0;0;0;0;1.277047;-27.32009;1.016656;-71.21901;-27.32525;1.016656;-71.16129;-27.33801;1.016656;-71.01853;-27.35652;1.016656;-70.81127;-27.37459;1.016656;-70.60894;-27.39345;1.016656;-70.39788;-27.41233;1.016656;-70.18662;-27.43081;1.016656;-69.97982;-27.44929;1.016656;-69.77295;-27.46731;1.016656;-69.57124;-27.48573;1.016656;-69.36501;-27.50448;1.016656;-69.15515;-27.52274;1.016656;-68.95084;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;0.2981198;0;0;0;0;0;0;0;0;0;0;0;0;0.2776871;-28.18545;1.016656;-71.18013;-28.27751;1.016656;-71.09146;-28.34485;1.016656;-70.93504;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Resident physician;Patient round;6.950177;0;0;0;0;0;0;0;0;0;0;0;0;5.262831;-25.82108;1.016656;-71.08624;-25.74655;1.016656;-70.84854;-25.76147;1.016656;-70.66534;-25.77764;1.016656;-70.47588;-25.79485;1.016656;-70.30692;-25.838;1.016656;-70.13924;-25.88625;1.016656;-69.96426;-25.91172;1.016656;-69.77113;-25.92243;1.016656;-69.592;-25.93402;1.016656;-69.4145;-25.94283;1.016656;-69.24455;-25.95461;1.016656;-69.06184;-25.96323;1.016656;-68.89421;-25.97266;1.016656;-68.73265;-25.88763;1.016656;-68.49101;-25.90503;1.016656;-68.35341;-25.9241;1.016656;-68.2259;-25.94411;1.016656;-68.11488;-25.96229;1.016656;-68.02488;-25.98225;1.016656;-67.93476;-26.0022;1.016656;-67.85266;-26.02417;1.016656;-67.78951;-26.04962;1.016656;-67.72852;-26.07385;1.016656;-67.67996;-26.16475;1.016656;-67.64871;-26.2776;1.016656;-67.63926;-26.37624;1.016656;-67.65268;-26.43611;1.016656;-67.69961;-26.48799;1.016656;-67.7882;-26.58161;1.016656;-67.85192;-26.71933;1.016656;-67.8616;-26.88717;1.016656;-67.81644;-27.06336;1.016656;-67.75219;-27.20152;1.016656;-67.64219;-27.38021;1.016656;-67.54202;-27.54761;1.016656;-67.41503;-27.68293;1.016656;-67.27117;-27.74585;1.016656;-67.08552;-27.72192;1.016656;-66.89862;-27.62057;1.016656;-66.75453;-27.45037;1.016656;-66.64998;-27.27106;1.016656;-66.55582;-27.08774;1.016656;-66.45959;-26.9012;1.016656;-66.36166;-26.71959;1.016656;-66.26632
Resident physician;Patient round;8.183849;0;0;0;0;0;0;0;0;0;0;0;0;4.278597;-27.18085;1.016656;-72.7775;-27.20372;1.016656;-72.78874;-27.26571;1.016656;-72.68755;-27.34093;1.016656;-72.52743;-27.41548;1.016656;-72.36333;-27.49006;1.016656;-72.19318;-27.56522;1.016656;-72.0154;-27.64301;1.016656;-71.82449;-27.72017;1.016656;-71.62806;-27.79238;1.016656;-71.43774;-27.85965;1.016656;-71.25512;-27.93162;1.016656;-71.0536;-28.00549;1.016656;-70.84151;-28.07836;1.016656;-70.63156;-28.14462;1.016656;-70.44066;-28.2168;1.016656;-70.23271;-28.29099;1.016656;-70.01896;-28.35847;1.016656;-69.82455;-28.42866;1.016656;-69.62231;-28.48228;1.016656;-69.32024;-28.56105;1.016656;-69.1086;-28.63755;1.016656;-68.90246;-28.70911;1.016656;-68.7131;-28.78553;1.016656;-68.50793;-28.85868;1.016656;-68.30966;-28.9314;1.016656;-68.11256;-29.00264;1.016656;-67.92128;-29.07279;1.016656;-67.73273;-29.14352;1.016656;-67.54202;-29.22391;1.016656;-67.3485;-29.32303;1.016656;-67.16709;-29.4547;1.016656;-67.00432;-29.57059;1.016656;-66.84272;-29.6713;1.016656;-66.66225;-29.76958;1.016656;-66.47515;-29.86535;1.016656;-66.29091;-29.96114;1.016656;-66.10661;-30.05455;1.016656;-65.92693;-30.08848;1.016656;-65.64987;-30.19091;1.016656;-65.46577;-30.29063;1.016656;-65.28652;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;9.305276;0;0;0;0;0;0;0;0;0;0;0;0;5.262351;-8.066668;1.016656;-3.5;-8.224359;1.016656;-3.686739;-8.359653;1.016656;-3.846956;-8.498334;1.016656;-4.011183;-8.628115;1.016656;-4.164871;-8.761144;1.016656;-4.322406;-8.896583;1.016656;-4.482794;-9.041203;1.016656;-4.654056;-9.182499;1.016656;-4.821382;-9.322842;1.016656;-4.987577;-9.464006;1.016656;-5.154747;-9.610481;1.016656;-5.328204;-9.756617;1.016656;-5.501259;-9.894485;1.016656;-5.664525;-9.969978;1.016656;-5.789978;-10.11139;1.016656;-5.954745;-10.2579;1.016656;-6.125458;-10.40264;1.016656;-6.294109;-10.53425;1.016656;-6.447459;-10.67807;1.016656;-6.613536;-10.82622;1.016656;-6.784316;-10.96055;1.016656;-6.940062;-11.10034;1.016656;-7.101989;-11.24761;1.016656;-7.272233;-11.3943;1.016656;-7.443858;-11.53759;1.016656;-7.610485;-11.67202;1.016656;-7.767413;-11.81267;1.016656;-7.935131;-11.93851;1.016656;-8.103353;-12.01964;1.016656;-8.296947;-12.09645;1.016656;-8.486184;-12.17216;1.016656;-8.672743;-12.2489;1.016656;-8.861832;-12.30426;1.016656;-9.036152;-12.3824;1.016656;-9.227673;-12.46198;1.016656;-9.422694;-12.53872;1.016656;-9.610779;-12.61878;1.016656;-9.806993;-12.69891;1.016656;-10.00338;-12.77735;1.016656;-10.19563;-12.85581;1.016656;-10.38794;-12.93232;1.016656;-10.57545;-13.01054;1.016656;-10.76715;-13.09013;1.016656;-10.96223;-13.16762;1.016656;-11.15215
Visitor;Supporting family member;4.161954;0;0;0;0;0;0;0;0;0;0;0;0;2.265253;-8.068821;1.016656;-3.50255;-8.120967;1.016656;-3.564302;-8.235149;1.016656;-3.699518;-8.368611;1.016656;-3.857565;-8.509887;1.016656;-4.024864;-8.646328;1.016656;-4.18644;-8.781985;1.016656;-4.347086;-8.91375;1.016656;-4.503121;-9.043648;1.016656;-4.656949;-9.175308;1.016656;-4.812862;-9.310806;1.016656;-4.973326;-9.444262;1.016656;-5.131363;-9.580158;1.016656;-5.292293;-9.71122;1.016656;-5.447496;-9.847946;1.016656;-5.609409;-9.984793;1.016656;-5.771464;-10.11875;1.016656;-5.930103;-10.25276;1.016656;-6.088793;-10.38342;1.016656;-6.243524;-10.44759;1.016656;-6.389154;-10.58686;1.016656;-6.547248;-10.72299;1.016656;-6.699992;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Shift nurse;Writing report;6.024722;0;0;0;0;0;0;0;0;0;0;0;0;5.261901;-25.41727;1.016656;-26.68654;-25.06869;1.016656;-26.74728;-24.83261;1.016656;-26.73948;-24.62335;1.016656;-26.69436;-24.24951;1.016656;-26.57707;-24.13469;1.016656;-26.43855;-24.03228;1.016656;-26.27621;-23.92436;1.016656;-26.07975;-23.81809;1.016656;-25.8887;-23.70734;1.016656;-25.70679;-23.5991;1.016656;-25.52166;-23.49075;1.016656;-25.32216;-23.38265;1.016656;-25.12312;-23.28067;1.016656;-24.93533;-23.14067;1.016656;-24.75495;-23.03985;1.016656;-24.56265;-22.93539;1.016656;-24.36341;-22.8322;1.016656;-24.16657;-22.73837;1.016656;-23.98759;-22.63748;1.016656;-23.79515;-22.54057;1.016656;-23.61031;-22.45896;1.016656;-23.45464;-22.38064;1.016656;-23.30526;-22.30536;1.016656;-23.16167;-22.23753;1.016656;-23.03229;-22.17874;1.016656;-22.92014;-22.13001;1.016656;-22.8272;-22.08533;1.016656;-22.74197;-22.04907;1.016656;-22.67281;-22.01983;1.016656;-22.61705;-21.99782;1.016656;-22.57506;-21.98224;1.016656;-22.54535;-21.97277;1.016656;-22.52728;-21.8869;1.016656;-22.49707;-21.89915;1.016656;-22.50075;-21.91063;1.016656;-22.50419;-21.92075;1.016656;-22.50722;-21.9303;1.016656;-22.51009;-21.93884;1.016656;-22.51266;-21.94621;1.016656;-22.51486;-21.9526;1.016656;-22.51678;-21.95787;1.016656;-22.51836;-21.96229;1.016656;-22.51969;-21.96581;1.016656;-22.52074;-21.96822;1.016656;-22.52146
Head of the ED;Monitoring patients;10.06773;0;0;0;0;0;0;0;0;0;0;0;0;5.261455;-27.32;1.016656;-71.22;-27.34175;1.016656;-70.97656;-27.36041;1.016656;-70.76769;-27.37954;1.016656;-70.5536;-27.46185;1.016656;-69.63223;-27.47966;1.016656;-69.4329;-27.49834;1.016656;-69.22379;-27.51829;1.016656;-69.00051;-27.53869;1.016656;-68.7831;-27.55839;1.016656;-68.56723;-27.57813;1.016656;-68.35011;-27.59853;1.016656;-68.12482;-27.61892;1.016656;-67.90031;-27.63791;1.016656;-67.68835;-27.57142;1.016656;-67.43087;-27.66411;1.016656;-67.23759;-27.73726;1.016656;-67.03306;-27.71244;1.016656;-66.83635;-27.61132;1.016656;-66.68801;-27.44989;1.016656;-66.54813;-27.284;1.016656;-66.40421;-27.12616;1.016656;-66.27862;-26.96502;1.016656;-66.15098;-26.78002;1.016656;-66.00591;-26.60894;1.016656;-65.89888;-26.43774;1.016656;-65.79542;-26.26402;1.016656;-65.69645;-26.06819;1.016656;-65.60128;-25.87705;1.016656;-65.51077;-25.68701;1.016656;-65.4208;-25.50243;1.016656;-65.3334;-25.32046;1.016656;-65.24723;-25.13602;1.016656;-65.1599;-24.92388;1.016656;-65.05962;-24.73693;1.016656;-64.97109;-24.54655;1.016656;-64.88094;-24.36296;1.016656;-64.794;-24.17142;1.016656;-64.7033;-23.97972;1.016656;-64.61253;-23.79206;1.016656;-64.52367;-23.60434;1.016656;-64.43479;-23.42131;1.016656;-64.34813;-23.23418;1.016656;-64.25951;-23.04376;1.016656;-64.16934;-22.85838;1.016656;-64.08156
Paramedic;Wheeling patient on a stretcher;9.075523;0;0;0;0;0;0;0;0;0;0;0;0;5.261013;-10.8373;1.016656;-17.64148;-11.05738;1.016656;-17.74542;-11.22144;1.016656;-17.86476;-11.38827;1.016656;-17.98425;-11.54201;1.016656;-18.09673;-11.69862;1.016656;-18.21136;-11.8618;1.016656;-18.33051;-12.03611;1.016656;-18.4534;-12.20409;1.016656;-18.57552;-12.37187;1.016656;-18.69722;-12.53792;1.016656;-18.81982;-12.70054;1.016656;-18.94144;-12.85841;1.016656;-19.06184;-13.00306;1.016656;-19.17371;-13.13071;1.016656;-19.23046;-13.24951;1.016656;-19.4057;-13.36753;1.016656;-19.59721;-13.48412;1.016656;-19.78642;-13.59014;1.016656;-19.95846;-13.70562;1.016656;-20.14585;-13.82432;1.016656;-20.33848;-13.93227;1.016656;-20.51366;-14.04458;1.016656;-20.6959;-14.16278;1.016656;-20.88771;-14.28127;1.016656;-21.07999;-14.39666;1.016656;-21.26725;-14.50519;1.016656;-21.44336;-14.62006;1.016656;-21.62977;-14.73101;1.016656;-21.80981;-14.84132;1.016656;-21.98882;-14.94846;1.016656;-22.16268;-15.05409;1.016656;-22.33409;-15.1327;1.016656;-22.5213;-15.15846;1.016656;-22.65777;-15.22968;1.016656;-22.85185;-15.29868;1.016656;-23.05086;-15.36522;1.016656;-23.24279;-15.43465;1.016656;-23.44301;-15.50413;1.016656;-23.64341;-15.57215;1.016656;-23.83959;-15.64019;1.016656;-24.03584;-15.70654;1.016656;-24.22718;-15.77437;1.016656;-24.4228;-15.84339;1.016656;-24.62187;-15.91058;1.016656;-24.81566
Porter;Bringing wheelchair;7.135457;0;0;0;0;0;0;0;0;0;0;0;0;5.260563;-9.92;1.016656;-18.9;-10.11751;1.016656;-19.04396;-10.28697;1.016656;-19.16748;-10.46068;1.016656;-19.2941;-10.62323;1.016656;-19.41258;-10.78985;1.016656;-19.53403;-10.9595;1.016656;-19.65768;-11.14064;1.016656;-19.78972;-11.31762;1.016656;-19.91872;-11.4934;1.016656;-20.04685;-11.67021;1.016656;-20.17573;-11.85368;1.016656;-20.30945;-12.03672;1.016656;-20.44287;-12.2094;1.016656;-20.56875;-12.30463;1.016656;-20.61198;-12.4255;1.016656;-20.78384;-12.53354;1.016656;-20.97046;-12.63744;1.016656;-21.15287;-12.70989;1.016656;-21.30236;-12.77167;1.016656;-21.44974;-12.81735;1.016656;-21.58506;-12.8523;1.016656;-21.69543;-12.88409;1.016656;-21.799;-12.91763;1.016656;-21.9005;-12.96349;1.016656;-21.99339;-13.00883;1.016656;-22.06874;-13.05923;1.016656;-22.13109;-13.1218;1.016656;-22.1912;-13.19004;1.016656;-22.24072;-13.26822;1.016656;-22.28435;-13.35629;1.016656;-22.32141;-13.45413;1.016656;-22.3557;-13.53857;1.016656;-22.3829;-13.56686;1.016656;-22.33942;-13.70072;1.016656;-22.36886;-13.83917;1.016656;-22.39453;-13.98933;1.016656;-22.41817;-14.15164;1.016656;-22.44122;-14.31972;1.016656;-22.46562;-14.49064;1.016656;-22.49494;-14.66744;1.016656;-22.5334;-14.84429;1.016656;-22.58335;-15.02749;1.016656;-22.65016;-15.20745;1.016656;-22.74327;-15.33081;1.016656;-22.88894
Cleaning patient areas;Cleaner;9.183093;0;0;0;0;0;0;0;0;0;0;0;0;5.26012;-11.44752;1.016656;-66.6882;-11.68662;1.016656;-66.63754;-11.89176;1.016656;-66.59406;-12.10204;1.016656;-66.54949;-12.29882;1.016656;-66.50777;-12.50054;1.016656;-66.46503;-12.7059;1.016656;-66.4215;-12.92518;1.016656;-66.37502;-13.13943;1.016656;-66.32962;-13.35223;1.016656;-66.28453;-13.56627;1.016656;-66.23917;-13.78837;1.016656;-66.1921;-14.00995;1.016656;-66.14513;-14.21849;1.016656;-66.10136;-14.38228;1.016656;-65.96806;-14.59763;1.016656;-65.94998;-14.82073;1.016656;-65.93104;-15.04175;1.016656;-65.91133;-15.24139;1.016656;-65.89006;-15.41022;1.016656;-65.81641;-15.50474;1.016656;-65.67944;-15.51743;1.016656;-65.50483;-15.48339;1.016656;-65.29461;-15.44711;1.016656;-65.07332;-15.41022;1.016656;-64.85112;-15.37446;1.016656;-64.63498;-15.34055;1.016656;-64.43163;-15.30472;1.016656;-64.21665;-15.26968;1.016656;-64.00904;-15.23373;1.016656;-63.80227;-15.16753;1.016656;-63.62542;-15.04425;1.016656;-63.50774;-14.86294;1.016656;-63.44729;-14.60554;1.016656;-63.39124;-14.4027;1.016656;-63.3507;-14.19615;1.016656;-63.30943;-13.99695;1.016656;-63.26963;-13.78914;1.016656;-63.22811;-13.58115;1.016656;-63.18655;-13.37754;1.016656;-63.14586;-13.17386;1.016656;-63.10516;-12.97599;1.016656;-63.06562;-12.78381;1.016656;-63.02723;-12.60143;1.016656;-62.99078;-12.43715;1.016656;-62.95795
Triage nurse;Admitting patient in waiting area;8.194795;0;0;0;0;0;0;0;0;0;0;0;0;5.259681;-9.9;1.016656;-79.49;-9.9;1.016656;-79.49;-9.9;1.016656;-79.49;-9.9;1.016656;-79.49;-9.901144;1.016656;-79.49019;-9.961973;1.016656;-79.50042;-10.10991;1.016656;-79.52526;-10.32959;1.016656;-79.56215;-10.54557;1.016656;-79.59843;-10.76009;1.016656;-79.63446;-10.97586;1.016656;-79.6707;-11.19976;1.016656;-79.7083;-11.42313;1.016656;-79.74582;-11.63387;1.016656;-79.78122;-11.74465;1.016656;-79.78234;-11.95873;1.016656;-79.81857;-12.18054;1.016656;-79.85609;-12.39968;1.016656;-79.89316;-12.59893;1.016656;-79.92687;-12.81596;1.016656;-79.96358;-13.03905;1.016656;-80.00132;-13.24195;1.016656;-80.03564;-13.45301;1.016656;-80.07135;-13.67516;1.016656;-80.10894;-13.89785;1.016656;-80.14661;-14.11473;1.016656;-80.1833;-14.3187;1.016656;-80.2178;-14.5346;1.016656;-80.25431;-14.74311;1.016656;-80.2896;-14.95043;1.016656;-80.32465;-15.1518;1.016656;-80.35873;-15.35032;1.016656;-80.3923;-15.55153;1.016656;-80.42633;-15.72862;1.016656;-80.45587;-15.93257;1.016656;-80.49037;-16.14025;1.016656;-80.52551;-16.34054;1.016656;-80.5594;-16.5495;1.016656;-80.59476;-16.75863;1.016656;-80.63015;-16.96335;1.016656;-80.66479;-17.16814;1.016656;-80.69945;-17.36782;1.016656;-80.73325;-17.57196;1.016656;-80.76779;-17.7797;1.016656;-80.80294;-17.98194;1.016656;-80.83717
