AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z
Physician;monitoring patients;8.731483;0;0;0;0;0;0;0;0;0;0;0;0;4.650304;-27.32;1.016656;-71.22;-27.32;1.016656;-71.22;-27.32094;1.016656;-71.18784;-27.32277;1.016656;-71.07342;-27.35258;1.016656;-70.91325;-27.40004;1.016656;-70.73867;-27.46675;1.016656;-70.58578;-27.53094;1.016656;-70.48997;-27.58327;1.016656;-70.42583;-27.61986;1.016656;-70.38011;-27.6586;1.016656;-69.44414;-27.85224;1.016656;-69.31947;-28.00467;1.016656;-69.1541;-28.13892;1.016656;-68.96794;-28.25414;1.016656;-68.78304;-28.37473;1.016656;-68.5989;-28.50032;1.016656;-68.41859;-28.65727;1.016656;-68.27223;-28.83878;1.016656;-68.12604;-29.02003;1.016656;-67.89314;-29.2032;1.016656;-67.76291;-29.20612;1.016656;-67.70612;-29.19243;1.016656;-67.46059;-29.22698;1.016656;-67.29959;-29.14359;1.016656;-67.13158;-29.07892;1.016656;-66.98071;-29.03081;1.016656;-66.83795;-28.97224;1.016656;-66.69012;-28.9108;1.016656;-66.5515;-28.83517;1.016656;-66.40967;-28.68993;1.016656;-66.30612;-28.48899;1.016656;-66.22276;-28.30301;1.016656;-66.14594;-28.10946;1.016656;-66.06597;-27.91347;1.016656;-65.98502;-27.72192;1.016656;-65.9059;-27.52023;1.016656;-65.82257;-27.33332;1.016656;-65.74537;-27.13938;1.016656;-65.66525;-26.90079;1.016656;-65.53088;-26.75305;1.016656;-65.38944;-26.58778;1.016656;-65.26535;-26.42234;1.016656;-65.15528;-26.2599;1.016656;-65.04737;-26.09757;1.016656;-64.93977;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;5.671484;0;0;0;0;0;0;0;0;0;0;0;0;3.653307;-28.0248;1.016656;-70.95777;-28.09608;1.016656;-70.84776;-28.16038;1.016656;-70.67624;-28.22202;1.016656;-70.48147;-28.28098;1.016656;-70.29012;-28.33911;1.016656;-70.09425;-28.39958;1.016656;-69.90199;-28.46163;1.016656;-69.74409;-28.52553;1.016656;-69.57874;-28.58949;1.016656;-69.4081;-28.65349;1.016656;-69.26334;-28.71353;1.016656;-69.12025;-28.77147;1.016656;-68.98608;-28.82433;1.016656;-68.86735;-28.87986;1.016656;-68.74299;-28.92088;1.016656;-68.63398;-28.9554;1.016656;-68.55511;-28.97966;1.016656;-68.47897;-28.99512;1.016656;-68.39729;-28.97565;1.016656;-68.29891;-28.88755;1.016656;-68.1879;-28.74588;1.016656;-68.0587;-28.61547;1.016656;-67.94111;-28.47965;1.016656;-67.81639;-28.34977;1.016656;-67.68465;-28.232;1.016656;-67.55267;-28.11341;1.016656;-67.41896;-28.00504;1.016656;-67.29629;-27.8935;1.016656;-67.17007;-27.76777;1.016656;-67.03581;-27.62074;1.016656;-66.88747;-27.43861;1.016656;-66.7689;-27.24588;1.016656;-66.66455;-27.05653;1.016656;-66.56203;-26.86725;1.016656;-66.45955;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;3.11218;0;0;0;0;0;0;0;0;0;0;0;0;2.649266;-27.32;1.016656;-71.22;-27.3318;1.016656;-71.17082;-27.35394;1.016656;-71.04127;-27.3787;1.016656;-70.87402;-27.39693;1.016656;-70.68913;-27.41609;1.016656;-70.48787;-27.43332;1.016656;-70.30076;-27.44418;1.016656;-70.11025;-27.44202;1.016656;-69.91631;-27.42357;1.016656;-69.73355;-27.40982;1.016656;-69.53586;-27.35926;1.016656;-69.38805;-27.32269;1.016656;-69.2916;-27.30062;1.016656;-69.20863;-27.29242;1.016656;-69.14288;-27.33239;1.016656;-69.11524;-27.37649;1.016656;-69.08848;-27.42251;1.016656;-69.05706;-27.46409;1.016656;-69.0312;-27.50701;1.016656;-69.00298;-27.53108;1.016656;-68.88594;-27.57406;1.016656;-68.84782;-27.64327;1.016656;-68.77776;-27.75206;1.016656;-68.66013;-27.85557;1.016656;-68.54109;-27.95528;1.016656;-68.41917;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;1.051222;0;0;0;0;0;0;0;0;0;0;0;0;1.648208;-27.31965;1.016656;-71.22553;-27.3198;1.016656;-71.22477;-27.32;1.016656;-71.22536;-27.3202;1.016656;-71.2244;-27.32002;1.016656;-71.22044;-27.32;1.016656;-71.22;-27.32;1.016656;-71.22;-27.31788;1.016656;-71.21073;-27.30247;1.016656;-71.13972;-27.27868;1.016656;-71.04603;-27.26235;1.016656;-70.91097;-27.25142;1.016656;-70.73849;-27.22896;1.016656;-70.5739;-27.20404;1.016656;-70.42522;-27.17872;1.016656;-70.28838;-27.15744;1.016656;-70.18995;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Resident physician;Patient round;13.47457;0;0;0;0;0;0;0;0;0;0;0;0;6.649308;-27.32;1.016656;-71.22;-27.33906;1.016656;-71.00668;-27.35694;1.016656;-70.8066;-27.37489;1.016656;-70.60573;-27.39289;1.016656;-70.40412;-27.41083;1.016656;-70.2033;-27.42884;1.016656;-70.00178;-27.47223;1.016656;-69.51618;-27.49053;1.016656;-69.31133;-27.50858;1.016656;-69.10921;-27.52688;1.016656;-68.90908;-27.54549;1.016656;-68.70756;-27.56383;1.016656;-68.50797;-27.58883;1.016656;-68.23493;-27.60826;1.016656;-68.01978;-27.62706;1.016656;-67.81153;-27.62071;1.016656;-67.5176;-27.62093;1.016656;-67.30956;-27.64199;1.016656;-66.84599;-27.55786;1.016656;-66.64538;-27.40593;1.016656;-66.49493;-27.22189;1.016656;-66.36785;-27.04167;1.016656;-66.24636;-26.85736;1.016656;-66.12506;-26.67939;1.016656;-66.01086;-26.5073;1.016656;-65.90308;-26.32623;1.016656;-65.79249;-26.14145;1.016656;-65.68145;-25.96331;1.016656;-65.57439;-25.78182;1.016656;-65.46525;-25.6067;1.016656;-65.35996;-25.43033;1.016656;-65.25397;-25.2531;1.016656;-65.14752;-25.08024;1.016656;-65.04377;-24.89708;1.016656;-64.93403;-24.63469;1.016656;-64.7959;-24.46385;1.016656;-64.69158;-24.2923;1.016656;-64.58244;-24.11993;1.016656;-64.47361;-23.95054;1.016656;-64.36763;-23.76613;1.016656;-64.25346;-23.59461;1.016656;-64.14849;-23.42117;1.016656;-64.04366;-23.23974;1.016656;-63.9356;-23.06527;1.016656;-63.83335;-22.87966;1.016656;-63.72649;-22.69813;1.016656;-63.62403;-22.50826;1.016656;-63.51933;-22.33378;1.016656;-63.42195;-22.15529;1.016656;-63.3172;-21.97268;1.016656;-63.21389;-21.81026;1.016656;-63.09876;-21.6482;1.016656;-62.97063;-21.50659;1.016656;-62.84509;-21.35311;1.016656;-62.72123;-21.14793;1.016656;-62.50586;-20.92999;1.016656;-62.43262;-20.67458;1.016656;-62.37857;-20.39509;1.016656;-62.35294;-20.23334;1.016656;-62.26902;-20.23334;1.016656;-62.00689
Resident physician;Patient round;10.59379;0;0;0;0;0;0;0;0;0;0;0;0;5.65521;-27.32558;1.016656;-71.20866;-27.36436;1.016656;-71.1299;-27.43911;1.016656;-70.97802;-27.52798;1.016656;-70.79743;-27.61776;1.016656;-70.61501;-27.70666;1.016656;-70.43436;-27.82829;1.016656;-70.18721;-27.92406;1.016656;-69.99262;-28.01682;1.016656;-69.80414;-28.11059;1.016656;-69.61361;-28.1462;1.016656;-69.51902;-28.1699;1.016656;-69.4611;-28.21935;1.016656;-69.38589;-28.28858;1.016656;-69.28089;-28.37907;1.016656;-69.14388;-28.47236;1.016656;-69.00462;-28.5661;1.016656;-68.87582;-28.64215;1.016656;-68.73134;-28.71123;1.016656;-68.56329;-28.75451;1.016656;-68.29438;-28.84774;1.016656;-68.10189;-28.94076;1.016656;-67.91416;-29.03557;1.016656;-67.72286;-29.12783;1.016656;-67.53867;-29.22428;1.016656;-67.35478;-29.32328;1.016656;-67.17091;-29.41982;1.016656;-66.99162;-29.52209;1.016656;-66.80167;-29.6945;1.016656;-66.46965;-29.79445;1.016656;-66.27375;-29.87821;1.016656;-66.11401;-29.97655;1.016656;-65.93278;-30.07287;1.016656;-65.75524;-30.17734;1.016656;-65.56269;-30.27411;1.016656;-65.38432;-30.37157;1.016656;-65.20468;-30.47304;1.016656;-65.01768;-30.57012;1.016656;-64.83875;-30.6007;1.016656;-64.58102;-30.70833;1.016656;-64.40121;-30.81853;1.016656;-64.21471;-30.92087;1.016656;-64.04165;-31.02826;1.016656;-63.86194;-31.13655;1.016656;-63.67979;-31.24276;1.016656;-63.50195;-31.35449;1.016656;-63.31467;-31.45829;1.016656;-63.14128;-31.56609;1.016656;-62.96146;-31.67018;1.016656;-62.78895;-31.78061;1.016656;-62.61178;-31.90085;1.016656;-62.42859;-32.02111;1.016656;-62.24536;-32.13927;1.016656;-62.06534;-32.25738;1.016656;-61.8854;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;12.32806;0;0;0;0;0;0;0;0;0;0;0;0;6.649092;-8.066668;1.016656;-3.5;-8.204846;1.016656;-3.663633;-8.334454;1.016656;-3.817112;-8.464585;1.016656;-3.971214;-8.595163;1.016656;-4.125847;-8.725228;1.016656;-4.279873;-8.855755;1.016656;-4.434441;-8.985051;1.016656;-4.587557;-9.117756;1.016656;-4.744708;-9.248676;1.016656;-4.899749;-9.378529;1.016656;-5.053522;-9.509702;1.016656;-5.208859;-9.639596;1.016656;-5.36268;-9.81732;1.016656;-5.573143;-9.957247;1.016656;-5.738846;-10.09278;1.016656;-5.899352;-10.18715;1.016656;-5.983997;-10.321;1.016656;-6.144662;-10.45403;1.016656;-6.304345;-10.5845;1.016656;-6.460957;-10.72217;1.016656;-6.6236;-10.86237;1.016656;-6.790958;-10.99914;1.016656;-6.9544;-11.13839;1.016656;-7.120493;-11.27185;1.016656;-7.280163;-11.40006;1.016656;-7.43413;-11.53422;1.016656;-7.595817;-11.67305;1.016656;-7.762838;-11.80597;1.016656;-7.924847;-11.92931;1.016656;-8.097586;-12.0079;1.016656;-8.288141;-12.0862;1.016656;-8.480584;-12.1649;1.016656;-8.673993;-12.24165;1.016656;-8.862623;-12.32294;1.016656;-9.062426;-12.37066;1.016656;-9.192682;-12.44983;1.016656;-9.386915;-12.52753;1.016656;-9.577518;-12.60537;1.016656;-9.768467;-12.68161;1.016656;-9.955493;-12.76431;1.016656;-10.15835;-12.84091;1.016656;-10.34627;-12.91806;1.016656;-10.53551;-12.99837;1.016656;-10.73254;-13.07522;1.016656;-10.92106;-13.15656;1.016656;-11.12058;-13.23566;1.016656;-11.31463;-13.31789;1.016656;-11.51635;-13.39385;1.016656;-11.70268;-13.4729;1.016656;-11.8966;-13.55295;1.016656;-12.09297;-13.63119;1.016656;-12.28489;-13.71356;1.016656;-12.48697;-13.7899;1.016656;-12.67423;-13.86911;1.016656;-12.86854;-13.8796;1.016656;-12.96112;-13.95989;1.016656;-13.15402;-14.0441;1.016656;-13.35633;-14.12832;1.016656;-13.55867;-14.21106;1.016656;-13.75746;-14.29378;1.016656;-13.95617
Visitor;Supporting family member;6.96342;0;0;0;0;0;0;0;0;0;0;0;0;3.653051;-8.075816;1.016656;-3.510833;-8.140042;1.016656;-3.586889;-8.258385;1.016656;-3.72703;-8.396279;1.016656;-3.890327;-8.529357;1.016656;-4.047919;-8.663402;1.016656;-4.206656;-8.79812;1.016656;-4.36619;-8.929508;1.016656;-4.52178;-9.068679;1.016656;-4.686588;-9.209031;1.016656;-4.852794;-9.344357;1.016656;-5.01305;-9.477158;1.016656;-5.170311;-9.610198;1.016656;-5.327858;-9.740505;1.016656;-5.48217;-9.881837;1.016656;-5.649539;-10.01277;1.016656;-5.804589;-10.14462;1.016656;-5.960725;-10.28189;1.016656;-6.123289;-10.41324;1.016656;-6.278831;-10.51512;1.016656;-6.42369;-10.65157;1.016656;-6.582294;-10.79412;1.016656;-6.746799;-10.92578;1.016656;-6.898742;-11.06237;1.016656;-7.057342;-11.20058;1.016656;-7.218006;-11.33564;1.016656;-7.375006;-11.47757;1.016656;-7.540599;-11.60898;1.016656;-7.694098;-11.74473;1.016656;-7.853924;-11.87388;1.016656;-8.008733;-11.97064;1.016656;-8.191525;-12.05318;1.016656;-8.394516;-12.13573;1.016656;-8.597539;-12.21684;1.016656;-8.797004;-12.29791;1.016656;-8.996387;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;1.020269;0;0;0;0;0;0;0;0;0;0;0;0;0.6512504;-8.066668;1.016656;-3.5;-8.090462;1.016656;-3.528178;-8.170628;1.016656;-3.623113;-8.305734;1.016656;-3.783109;-8.447137;1.016656;-3.950558;-8.586059;1.016656;-4.115072;-8.724923;1.016656;-4.279518;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Shift nurse;Writing report;12.45803;1;1;0;0;0;0;0;0;0;0;0;0;6.648855;-26.28;1.016656;-25.39;-27.71433;1.016656;-24.94701;-27.63048;1.016656;-24.93594;-27.49098;1.016656;-24.86603;-27.32099;1.016656;-24.77536;-27.14073;1.016656;-24.69193;-26.95418;1.016656;-24.61365;-27.13353;1.016656;-24.04252;-26.95864;1.016656;-23.94406;-26.77453;1.016656;-23.86099;-26.58233;1.016656;-23.80171;-26.38643;1.016656;-23.74736;-26.19243;1.016656;-23.69353;-25.927;1.016656;-23.61988;-25.71801;1.016656;-23.5619;-25.51558;1.016656;-23.50573;-25.31096;1.016656;-23.44896;-25.09405;1.016656;-23.34427;-24.89306;1.016656;-23.29136;-24.69593;1.016656;-23.23948;-24.48882;1.016656;-23.18496;-24.27758;1.016656;-23.12936;-24.07138;1.016656;-23.07509;-23.86162;1.016656;-23.01989;-23.66024;1.016656;-22.96688;-23.46656;1.016656;-22.9159;-23.27219;1.016656;-22.86475;-23.08541;1.016656;-22.81558;-22.91887;1.016656;-22.77175;-22.76287;1.016656;-22.73069;-22.62553;1.016656;-22.69454;-22.50029;1.016656;-22.66158;-22.38763;1.016656;-22.63192;-22.29063;1.016656;-22.60639;-22.20169;1.016656;-22.58298;-22.12634;1.016656;-22.56315;-21.9833;1.016656;-22.52591;-21.97;1.016656;-22.522;-21.97153;1.016656;-22.52302;-22.02031;1.016656;-22.55548;-22.14998;1.016656;-22.64176;-22.31797;1.016656;-22.75355;-22.4881;1.016656;-22.86676;-22.66524;1.016656;-22.98463;-22.83473;1.016656;-23.09741;-23.01411;1.016656;-23.21678;-23.18856;1.016656;-23.33287;-23.36991;1.016656;-23.45354;-23.53743;1.016656;-23.56502;-23.71178;1.016656;-23.68103;-23.88832;1.016656;-23.79851;-24.06086;1.016656;-23.91333;-24.24254;1.016656;-24.03422;-24.4109;1.016656;-24.14625;-24.58559;1.016656;-24.26249;-24.6998;1.016656;-24.34272;-24.81213;1.016656;-24.44588;-24.97469;1.016656;-24.55334;-25.13106;1.016656;-24.65962;-25.2674;1.016656;-24.75475;-25.38649;1.016656;-24.83829
Head of the ED;Monitoring patients;12.5212;0;0;0;0;0;0;0;0;0;0;0;0;6.64862;-28.87118;1.016656;-71.35842;-28.93331;1.016656;-71.16041;-28.94961;1.016656;-70.9772;-28.96655;1.016656;-70.79269;-28.98237;1.016656;-70.60853;-28.9966;1.016656;-70.43102;-29.01116;1.016656;-70.25515;-29.01571;1.016656;-70.08785;-29.00754;1.016656;-69.92333;-29.00764;1.016656;-69.75157;-29.03658;1.016656;-69.58405;-29.06281;1.016656;-69.41518;-29.07527;1.016656;-69.23413;-29.07848;1.016656;-68.97466;-29.06981;1.016656;-68.76587;-29.05279;1.016656;-68.56223;-29.06381;1.016656;-68.32868;-28.92371;1.016656;-68.1207;-28.77273;1.016656;-67.97786;-28.62465;1.016656;-67.83779;-28.46907;1.016656;-67.69061;-28.31038;1.016656;-67.54048;-28.15638;1.016656;-67.39411;-27.9996;1.016656;-67.24533;-27.84895;1.016656;-67.10268;-27.70351;1.016656;-66.96562;-27.54452;1.016656;-66.82964;-27.35391;1.016656;-66.7254;-27.16955;1.016656;-66.62553;-26.98162;1.016656;-66.52373;-26.80026;1.016656;-66.42548;-26.61758;1.016656;-66.32652;-26.43398;1.016656;-66.22707;-26.25492;1.016656;-66.13007;-26.06526;1.016656;-66.02731;-25.87398;1.016656;-65.92371;-25.63756;1.016656;-65.78642;-25.45646;1.016656;-65.68861;-25.27503;1.016656;-65.59061;-25.09733;1.016656;-65.49464;-24.90459;1.016656;-65.39053;-24.72603;1.016656;-65.29408;-24.54623;1.016656;-65.19696;-24.35902;1.016656;-65.09584;-24.1799;1.016656;-64.99908;-23.99032;1.016656;-64.89669;-23.80595;1.016656;-64.7971;-23.61428;1.016656;-64.69357;-23.43724;1.016656;-64.59793;-23.25298;1.016656;-64.49841;-23.0664;1.016656;-64.39764;-22.88405;1.016656;-64.29914;-22.69204;1.016656;-64.19543;-22.51411;1.016656;-64.09933;-22.32949;1.016656;-63.9996;-22.0645;1.016656;-63.81729;-21.87933;1.016656;-63.72047;-21.68514;1.016656;-63.61894;-21.49117;1.016656;-63.51837;-21.3;1.016656;-63.41962;-21.10902;1.016656;-63.32069
Paramedic;Wheeling patient on a stretcher;12.35127;0;0;0;0;0;0;0;0;0;0;0;0;6.64838;-9.92;1.016656;-18.9;-10.09307;1.016656;-19.02616;-10.25541;1.016656;-19.14449;-10.4184;1.016656;-19.2633;-10.58195;1.016656;-19.38251;-10.74487;1.016656;-19.50125;-10.90836;1.016656;-19.62041;-11.07031;1.016656;-19.73846;-11.23653;1.016656;-19.85961;-11.40053;1.016656;-19.97915;-11.56317;1.016656;-20.09769;-11.72747;1.016656;-20.21745;-11.89016;1.016656;-20.33604;-12.11277;1.016656;-20.4983;-12.28803;1.016656;-20.62605;-12.4578;1.016656;-20.74979;-12.6294;1.016656;-20.87487;-12.75668;1.016656;-20.96026;-12.92439;1.016656;-21.08303;-13.08887;1.016656;-21.20343;-13.26169;1.016656;-21.32993;-13.43795;1.016656;-21.45896;-13.60955;1.016656;-21.58451;-13.78503;1.016656;-21.71074;-13.95347;1.016656;-21.83292;-14.11556;1.016656;-21.95063;-14.28535;1.016656;-22.07425;-14.46091;1.016656;-22.20208;-14.63006;1.016656;-22.32563;-14.80208;1.016656;-22.4522;-14.96785;1.016656;-22.57454;-15.13338;1.016656;-22.69968;-15.26392;1.016656;-22.85925;-15.33446;1.016656;-23.04946;-15.40462;1.016656;-23.25343;-15.47537;1.016656;-23.45914;-15.46235;1.016656;-23.56096;-15.52996;1.016656;-23.75537;-15.59769;1.016656;-23.95014;-15.66404;1.016656;-24.1409;-15.73599;1.016656;-24.3478;-15.80266;1.016656;-24.53948;-15.86978;1.016656;-24.7325;-15.93968;1.016656;-24.93347;-16.00655;1.016656;-25.12575;-16.07732;1.016656;-25.32926;-16.14615;1.016656;-25.52718;-16.21771;1.016656;-25.73293;-16.28381;1.016656;-25.92298;-16.3526;1.016656;-26.12078;-16.42226;1.016656;-26.32106;-16.49034;1.016656;-26.51681;-16.56202;1.016656;-26.72293;-16.62845;1.016656;-26.91393;-16.69738;1.016656;-27.11212;-16.74228;1.016656;-27.22068;-16.81077;1.016656;-27.41808;-16.8826;1.016656;-27.6251;-16.95444;1.016656;-27.83216;-17.02503;1.016656;-28.03559;-17.09558;1.016656;-28.23893
