AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z
Physician;monitoring patients;0.06892824;264;77;17;60;34;34;17;17;17;17;17;17;2.119879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03091839;0;0.06160484;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;0;129;41;8;33;16;16;8;8;8;8;8;8;1.069904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;0;17;6;1;5;2;2;1;1;1;1;1;1;0.07652855;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Resident physician;Patient round;0.09282665;555;121;37;121;33;54;37;37;37;37;37;37;5.118684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.01636837;0;0.01687672;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798;0.03316084;0;0.08412798
Resident physician;Patient round;0.06598024;515;117;33;117;33;50;33;33;33;33;33;33;4.094296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;0.04834501;0;0.04490158;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;0.1273625;571;121;37;121;70;17;37;37;37;37;37;37;5.118407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.02863063;0;0.05275638;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416;0.09072664;0;0.07880416
Visitor;Supporting family member;0.1179817;307;77;17;77;34;17;17;17;17;17;17;17;2.119562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08822117;0;0.07833719;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Shift nurse;Writing report;0.1779216;588;121;37;121;70;54;0;37;37;37;37;37;5.118155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.007564951;0;0.0714678;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306;0.07501912;0;0.153306
Head of the ED;Monitoring patients;0.1431748;588;121;37;121;70;54;37;0;37;37;37;37;5.117947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03489895;0;0.02801159;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409;0.03922909;0;0.1263409
Paramedic;Wheeling patient on a stretcher;0.1020161;588;121;37;121;70;54;37;37;0;37;37;37;5.11774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.04086461;0;0.04989826;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308;0.05470262;0;0.08477308
Porter;Bringing wheelchair;0.2422276;588;121;37;121;70;54;37;37;37;0;37;37;5.117535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.09746196;0;0.07678051;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575;0.1717529;0;0.1686575
Cleaning patient areas;Cleaner;0.1160444;588;121;37;121;70;54;37;37;37;37;0;37;5.117327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.04832096;0;0.03342368;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765;0.0959057;0;0.06532765
Triage nurse;Admitting patient in waiting area;0.1800004;588;121;37;121;70;54;37;37;37;37;37;0;5.117123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.0797134;0;0.05530331;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515;0.1572544;0;0.08485515
